,1,2
Drug 1,128.8,77.28
Drug 2,257.6,18.032
Drug 3,36.4,5.460000000000001
Drug 4,72.8,12.740000000000002
Drug 5,30.333333333333332,127.4
Drug 6,45.5,9.1
Drug 7,18.2,40.04
Drug 8,29.12,105.56
Drug 9,12.133333333333333,58.239999999999995
Drug 10,81.9,10.556
